Host: Descending,Cores
red-c0801.unl.edu,16
red-c0803.unl.edu,16
red-c0805.unl.edu,16
red-c0807.unl.edu,16
red-c0809.unl.edu,16
red-c0811.unl.edu,16
red-c0813.unl.edu,16
red-c0815.unl.edu,16
red-c0817.unl.edu,16
red-c0819.unl.edu,16
red-c0821.unl.edu,16
red-c0823.unl.edu,16
red-c0825.unl.edu,16
red-c0827.unl.edu,16
red-c0829.unl.edu,16
red-c0831.unl.edu,16
red-c0833.unl.edu,16
red-c0835.unl.edu,16
red-c0837.unl.edu,16
red-c0839.unl.edu,16
red-c0901.unl.edu,16
red-c0903.unl.edu,16
red-c0905.unl.edu,16
red-c0907.unl.edu,16
red-c0909.unl.edu,16
red-c0911.unl.edu,16
red-c0913.unl.edu,16
red-c0915.unl.edu,16
red-c0917.unl.edu,16
red-c0919.unl.edu,16
red-c0921.unl.edu,16
red-c0923.unl.edu,16
red-c0927.unl.edu,16
red-c0929.unl.edu,16
red-c0931.unl.edu,16
red-c0933.unl.edu,16
red-c0935.unl.edu,16
red-c0937.unl.edu,16
red-c0939.unl.edu,16
red-c1101.unl.edu,16
red-c1103.unl.edu,16
red-c1105.unl.edu,16
red-c1107.unl.edu,16
red-c1109.unl.edu,16
red-c1111.unl.edu,16
red-c1113.unl.edu,16
red-c1115.unl.edu,16
red-c1117.unl.edu,16
red-c1119.unl.edu,16
red-c1121.unl.edu,16
red-c1123.unl.edu,16
red-c1125.unl.edu,16
red-c1127.unl.edu,16
red-c1129.unl.edu,16
red-c1131.unl.edu,16
red-c1133.unl.edu,16
red-c1135.unl.edu,16
red-c1137.unl.edu,16
red-c1201.unl.edu,16
red-c1203.unl.edu,16
red-c1205.unl.edu,16
red-c1207.unl.edu,16
red-c1209.unl.edu,16
red-c1211.unl.edu,16
red-c1213.unl.edu,16
red-c1215.unl.edu,16
red-c1229.unl.edu,64
red-c1233.unl.edu,64
red-c1235.unl.edu,64
red-c1237.unl.edu,16
red-c1503.unl.edu,24
red-c1504.unl.edu,24
red-c1505.unl.edu,24
red-c1506.unl.edu,24
red-c1507.unl.edu,24
red-c1508.unl.edu,24
red-c1511.unl.edu,24
red-c1512.unl.edu,24
red-c1513.unl.edu,24
red-c1514.unl.edu,24
red-c1515.unl.edu,24
red-c1516.unl.edu,24
red-c1519.unl.edu,24
red-c1520.unl.edu,24
red-c1521.unl.edu,24
red-c1522.unl.edu,24
red-c1523.unl.edu,24
red-c1524.unl.edu,24
red-c1525.unl.edu,16
red-c1527.unl.edu,16
red-c1529.unl.edu,16
red-c1531.unl.edu,16
red-c1533.unl.edu,16
red-c1535.unl.edu,16
red-c1603.unl.edu,24
red-c1604.unl.edu,24
red-c1605.unl.edu,24
red-c1606.unl.edu,24
red-c1607.unl.edu,24
red-c1608.unl.edu,24
red-c1611.unl.edu,24
red-c1612.unl.edu,24
red-c1613.unl.edu,24
red-c1614.unl.edu,24
red-c1615.unl.edu,24
red-c1616.unl.edu,24
red-c1619.unl.edu,24
red-c1620.unl.edu,24
red-c1621.unl.edu,24
red-c1622.unl.edu,24
red-c1623.unl.edu,24
red-c1624.unl.edu,24
red-c1625.unl.edu,16
red-c1627.unl.edu,16
red-c1629.unl.edu,16
red-c1631.unl.edu,16
red-c1633.unl.edu,16
red-c1635.unl.edu,16
red-c1809.unl.edu,32
red-c1817.unl.edu,32
red-c1825.unl.edu,32
red-c2009.unl.edu,32
red-c2017.unl.edu,32
red-c2103.unl.edu,32
red-c2105.unl.edu,32
red-c2107.unl.edu,32
red-c2109.unl.edu,32
red-c2111.unl.edu,32
red-c2113.unl.edu,32
red-c2115.unl.edu,32
red-c2117.unl.edu,32
red-c2119.unl.edu,32
red-c2121.unl.edu,32
red-c2123.unl.edu,32
red-c2125.unl.edu,32
red-c2127.unl.edu,32
red-c2129.unl.edu,32
red-c2131.unl.edu,32
red-c2133.unl.edu,32
red-c2203.unl.edu,32
red-c2205.unl.edu,32
red-c2207.unl.edu,32
red-c2209.unl.edu,32
red-c2211.unl.edu,32
red-c2213.unl.edu,32
red-c2215.unl.edu,32
red-c2217.unl.edu,32
red-c2219.unl.edu,32
red-c2221.unl.edu,32
red-c2223.unl.edu,32
red-c2225.unl.edu,32
red-c2227.unl.edu,32
red-c2229.unl.edu,32
red-c2231.unl.edu,32
red-c2233.unl.edu,32
red-c2303.unl.edu,32
red-c2307.unl.edu,32
red-c2309.unl.edu,32
red-c2311.unl.edu,32
red-c2313.unl.edu,32
red-c2315.unl.edu,32
red-c2317.unl.edu,32
red-c2319.unl.edu,32
red-c2321.unl.edu,32
red-c2323.unl.edu,32
red-c2325.unl.edu,32
red-c2331.unl.edu,32
red-c2333.unl.edu,32
red-c5003.unl.edu,96
red-c5004.unl.edu,96
red-c5005.unl.edu,96
red-c5006.unl.edu,96
red-c5007.unl.edu,96
red-c5008.unl.edu,96
red-c5009.unl.edu,96
red-c5010.unl.edu,96
red-c5011.unl.edu,96
red-c5012.unl.edu,96
red-c5013.unl.edu,96
red-c5014.unl.edu,96
red-c5015.unl.edu,96
red-c5016.unl.edu,96
red-c5017.unl.edu,96
red-c5018.unl.edu,96
red-c5019.unl.edu,96
red-c5020.unl.edu,96
red-c5103.unl.edu,32
red-c5104.unl.edu,32
red-c5105.unl.edu,32
red-c5106.unl.edu,32
red-c5107.unl.edu,32
red-c5108.unl.edu,32
red-c5109.unl.edu,32
red-c5110.unl.edu,32
red-c5111.unl.edu,32
red-c5112.unl.edu,32
red-c5113.unl.edu,32
red-c5114.unl.edu,32
red-c5115.unl.edu,32
red-c5116.unl.edu,32
red-c5117.unl.edu,32
red-c5118.unl.edu,32
red-c5119.unl.edu,32
red-c5120.unl.edu,32
red-c5121.unl.edu,32
red-c5122.unl.edu,32
red-c5229.unl.edu,40
red-c5230.unl.edu,40
red-c5231.unl.edu,40
red-c5232.unl.edu,40
red-c5329.unl.edu,16
red-c5409.unl.edu,64
red-c5411.unl.edu,64
red-c5415.unl.edu,64
red-c5417.unl.edu,64
red-c5421.unl.edu,64
red-c5423.unl.edu,64
red-c5425.unl.edu,64
red-c5427.unl.edu,64
red-c5605.unl.edu,56
red-c5607.unl.edu,56
red-c5609.unl.edu,56
red-c5611.unl.edu,56
red-c5613.unl.edu,56
red-c5615.unl.edu,56
red-c5617.unl.edu,56
red-c5619.unl.edu,56
red-c5621.unl.edu,56
red-c5623.unl.edu,56
red-c5625.unl.edu,56
red-c5627.unl.edu,56
red-c5705.unl.edu,56
red-c5707.unl.edu,56
red-c5709.unl.edu,56
red-c5711.unl.edu,56
red-c5713.unl.edu,56
red-c5715.unl.edu,56
red-c5717.unl.edu,56
red-c5719.unl.edu,56
red-c5721.unl.edu,56
red-c5723.unl.edu,56
red-c5725.unl.edu,56
red-c5727.unl.edu,56
red-c5805.unl.edu,32
red-c5807.unl.edu,32
red-c5809.unl.edu,32
red-c5811.unl.edu,32
red-c5813.unl.edu,32
red-c5815.unl.edu,32
red-c5817.unl.edu,32
red-c5819.unl.edu,32
red-c5821.unl.edu,32
red-c5823.unl.edu,32
red-c5825.unl.edu,32
red-c5903.unl.edu,32
red-c5905.unl.edu,32
red-c5907.unl.edu,32
red-c5909.unl.edu,32
red-c5911.unl.edu,32
red-c5913.unl.edu,32
red-c5915.unl.edu,32
red-c5917.unl.edu,32
red-c5919.unl.edu,32
red-c5921.unl.edu,32
red-c5923.unl.edu,32
red-c5925.unl.edu,32
red-c6003.unl.edu,48
red-c6005.unl.edu,32
red-c6007.unl.edu,32
red-c6009.unl.edu,32
red-c6011.unl.edu,32
red-c6013.unl.edu,32
red-c6015.unl.edu,32
red-c6017.unl.edu,32
red-c6019.unl.edu,32
red-c6021.unl.edu,32
red-c6023.unl.edu,32
red-c6105.unl.edu,32
red-c6107.unl.edu,32
red-c6109.unl.edu,32
red-c6111.unl.edu,32
red-c6113.unl.edu,32
red-c6115.unl.edu,32
red-c6117.unl.edu,32
red-c6119.unl.edu,32
red-c6121.unl.edu,32
red-c6905.unl.edu,64
red-c6907.unl.edu,64
red-c6909.unl.edu,64
red-c6911.unl.edu,64
red-c6913.unl.edu,64
red-c6915.unl.edu,64
red-c6917.unl.edu,64
red-c6919.unl.edu,64
red-c7007.unl.edu,64
red-c7011.unl.edu,64
red-c7017.unl.edu,64
red-c7021.unl.edu,64
red-c7023.unl.edu,64
red-c7025.unl.edu,64
red-c7031.unl.edu,40
red-c7032.unl.edu,40
red-c7103.unl.edu,48
red-c7104.unl.edu,48
red-c7105.unl.edu,48
red-c7106.unl.edu,48
red-c7107.unl.edu,48
red-c7108.unl.edu,48
red-c7109.unl.edu,48
red-c7110.unl.edu,48
red-c7111.unl.edu,48
red-c7112.unl.edu,48
red-c7113.unl.edu,48
red-c7114.unl.edu,48
red-c7115.unl.edu,48
red-c7116.unl.edu,48
red-c7117.unl.edu,48
red-c7118.unl.edu,48
red-c7119.unl.edu,48
red-c7120.unl.edu,48
red-c7121.unl.edu,48
red-c7123.unl.edu,48
red-c7124.unl.edu,48
red-c7127.unl.edu,48
red-c7131.unl.edu,96
red-c7215.unl.edu,48
red-c7216.unl.edu,48
red-c7217.unl.edu,48
red-c7218.unl.edu,48
red-c7219.unl.edu,48
red-c7220.unl.edu,48
red-c7221.unl.edu,48
red-c7222.unl.edu,48
red-c7223.unl.edu,48
red-c7224.unl.edu,48
red-c7225.unl.edu,48
red-c7226.unl.edu,48
red-c7227.unl.edu,96
red-c7228.unl.edu,96
red-c7229.unl.edu,96
red-c7230.unl.edu,96
red-c7231.unl.edu,96
red-c7232.unl.edu,96
red-c7233.unl.edu,96
red-c7234.unl.edu,96
red-c7235.unl.edu,96
red-c7236.unl.edu,96
red-c7303.unl.edu,40
red-c7304.unl.edu,40
red-c7305.unl.edu,40
red-c7306.unl.edu,40
red-c7307.unl.edu,40
red-c7308.unl.edu,40
red-c7309.unl.edu,40
red-c7310.unl.edu,40
red-c7311.unl.edu,40
red-c7312.unl.edu,40
red-c7313.unl.edu,40
red-c7314.unl.edu,40
red-c7315.unl.edu,40
red-c7316.unl.edu,40
red-c7317.unl.edu,40
red-c7318.unl.edu,40
red-c7319.unl.edu,40
red-c7320.unl.edu,40
red-c7321.unl.edu,40
red-c7322.unl.edu,40
red-c7323.unl.edu,40
red-c7324.unl.edu,40
red-c7325.unl.edu,40
red-c7326.unl.edu,40
red-c7327.unl.edu,40
red-c7328.unl.edu,40
red-c7329.unl.edu,40
red-c7330.unl.edu,40
red-c7331.unl.edu,40
red-c7332.unl.edu,40
red-c7333.unl.edu,40
red-c7334.unl.edu,40
red-c9403.unl.edu,32
red-c9404.unl.edu,32
red-c9405.unl.edu,32
red-c9406.unl.edu,32
red-c9407.unl.edu,32
red-c9408.unl.edu,32
red-c9409.unl.edu,32
red-c9410.unl.edu,32
red-c9411.unl.edu,32
red-c9412.unl.edu,32
red-c9413.unl.edu,32
red-c9414.unl.edu,32
red-c9415.unl.edu,32
red-c9416.unl.edu,32
red-c9417.unl.edu,32
red-c9418.unl.edu,32
